cell_id	circRNA_count	circRNA_total_support	frac_non_diploid	frac_loss	frac_gain
IMR90_A_126	98	249	0.10346989621660864	0.09617700925635653	0.007292886960252116
IMR90_A_125	119	279	0.13173395812364908	0.12427607372085733	0.007457884402791757
IMR90_A_122	87	312	0.12317059085584174	0.11871565990727144	0.004454930948570297
IMR90_A_119	111	304	0.11086178164238454	0.10990479647565463	0.0009569851667299157
IMR90_A_117	88	341	0.11010279340670219	0.09068259441978649	0.0194201989869157
IMR90_A_115	132	275	0.09347105119870643	0.09200257396010361	0.0014684772386028017
IMR90_A_113	151	327	0.09413104096886499	0.09312455656937317	0.0010064843994918079
IMR90_A_112	120	269	0.12724602768657087	0.1271305294767931	0.00011549820977774845
IMR90_A_110	112	327	0.10345339647235467	0.09170557856353226	0.011747817908822414
IMR90_A_109	108	259	0.10713283944098867	0.09998845017902222	0.007144389261966439
IMR90_A_108	185	398	0.08845512894550134	0.08771264045407297	0.0007424884914283828
IMR90_A_107	147	260	0.13353243024733116	0.12894550134472915	0.004586928902602009
IMR90_A_106	175	393	0.1410893131156467	0.10614285478575082	0.03494645832989589
IMR90_A_103	119	476	0.12744402461761842	0.12064612998498524	0.006797894632633195
IMR90_A_102	106	317	0.18504463180820696	0.14879469368224793	0.036249938125959044
IMR90_A_101	89	257	0.09251406603197651	0.09084759186232613	0.0016664741696503704
IMR90_C_010	110	188	0.08583166960912106	0.08518817958321646	0.0006434900259045985
IMR90_C_001	119	336	0.08970910950880262	0.08959361129902486	0.00011549820977774845
IMR90_A_098	123	348	0.1286980051809197	0.12081112742752487	0.007886877753394823
IMR90_A_097	244	509	0.09484052997178544	0.09244806705496064	0.0023924629168247894
IMR90_A_128	108	331	0.11467322256505025	0.08799313610639035	0.02668008645865989
IMR90_A_127	126	273	0.10231491411883116	0.10180342204695828	0.000511492071872886
IMR90_A_100	137	394	0.1038988895672117	0.09916346296632403	0.004735426600887686
