term	estimate	std_error	t	p	n	df_resid	r_squared
Intercept	-228.7012555555821	35.56805845945837	-6.429961753922082	3.720709046371892e-08	56	53	0.5529848518546334
detected_genes	0.02504742101522227	0.003591210376154582	6.97464598051276	4.954518747991661e-09	56	53	0.5529848518546334
frac_rt_pos	42.99225331263859	36.51791087597735	1.1772922459515687	0.24433881774176253	56	53	0.5529848518546334
