x	y	n	pearson_r	pearson_p	spearman_r	spearman_p	status
frac_rt_pos	circRNA_count	56	0.3777500013602505	0.004101569565207363	0.2776543316949826	0.03828021656025004	ok
frac_rt_pos	circRNA_total_support	56	0.3052437661523308	0.022160193602810147	0.3080866773280812	0.02088752552722788	ok
frac_rt_neg	circRNA_count	56	-0.3886900798314106	0.0030718717845009346	-0.28517211280611426	0.033142316526659665	ok
frac_rt_neg	circRNA_total_support	56	-0.3075256619182258	0.021133648052206806	-0.3105422359977601	0.01983862037561423	ok
detected_genes	circRNA_count	56	0.7357274225981588	1.0521433623009969e-10	0.6697726874477182	1.653594775416753e-08	ok
