cell_id	rna_umap1	rna_umap2	detected_genes	circRNA_count	circRNA_total_support	host_gene_DYNC2I1_host_support	circRNA_DYNC2I1_top_circ_support	host_gene_MAN1A2_host_support	circRNA_MAN1A2_top_circ_support	host_gene_PTP4A2_host_support	circRNA_PTP4A2_top_circ_support
DIYHEK_146	4.6486382	14.334306	8880	7	16	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_147	9.024175	13.632467	9194	18	42	7.0	7.0	0.0	0.0	0.0	0.0
DIYHEK_148	4.280344	7.814256	8562	5	6	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_149	7.771334	13.360658	8280	9	13	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_15	3.8048139	12.839981	9310	7	9	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_150	6.350214	12.718355	7817	3	5	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_151	4.7624307	10.096497	7446	3	6	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_152	5.967375	13.488651	7768	6	7	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_153	5.688021	9.550327	9026	22	43	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_154	2.8503237	12.343851	8524	6	8	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_155	6.9222026	12.222579	7386	1	1	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_156	3.7088528	9.544034	8016	11	16	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_157	3.647345	12.35567	9487	12	23	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_158	7.8371673	12.942858	8717	7	19	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_159	8.862621	12.539648	9601	18	38	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_16	4.8932667	9.332763	7988	5	8	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_160	4.8079753	13.242091	9486	12	23	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_161	3.6619155	12.762013	8051	9	16	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_162	3.783331	8.304767	7019	9	13	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_163	5.009763	8.9209175	8238	9	13	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_164	5.6005793	14.218275	7269	2	7	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_165	3.7602754	13.924617	8397	10	12	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_166	8.497688	14.260112	8477	13	17	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_167	6.0646906	13.663411	6566	3	3	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_168	5.2523975	11.646878	7198	2	5	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_169	5.258657	12.681642	9102	6	13	0.0	0.0	0.0	0.0	1.0	1.0
DIYHEK_17	5.2714744	13.64841	8382	5	9	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_170	3.387784	8.091723	7790	5	8	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_171	4.8338947	14.730771	9765	7	11	2.0	2.0	0.0	0.0	0.0	0.0
DIYHEK_172	6.3127656	11.392376	8729	11	22	0.0	0.0	0.0	0.0	3.0	0.0
DIYHEK_173	3.269611	13.077087	8629	5	6	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_174	3.0048375	8.460056	7430	12	16	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_175	5.1830263	13.886284	8786	3	3	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_176	3.6778333	13.149658	8238	8	8	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_177	4.311548	8.967286	8018	4	7	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_178	3.205635	12.2495365	7474	1	1	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_179	7.3170676	11.60778	7340	3	5	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_18	3.5280983	12.66961	8885	9	22	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_180	3.7272484	14.481497	8313	3	3	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_181	4.8717527	10.947133	8644	8	12	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_182	8.693078	13.823484	8807	3	4	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_183	4.1801515	8.352766	8892	8	12	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_184	5.1654267	14.213788	8669	2	3	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_185	7.556067	14.92894	8821	17	35	1.0	1.0	0.0	0.0	0.0	0.0
DIYHEK_186	8.59843	12.95021	7110	3	7	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_187	4.4017787	14.56417	7267	5	7	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_188	3.3036907	8.771259	7208	9	11	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_189	7.383095	14.341794	7415	2	2	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_19	5.213516	12.582462	8569	2	3	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_190	4.4023194	9.507224	6597	2	4	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_191	3.5502353	9.48024	6539	2	2	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_192	4.2243795	11.112965	4365	0	0	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_2	3.0523734	12.927715	9109	6	10	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_20	6.3268094	11.501079	8910	9	16	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_21	6.47685	14.107187	8876	9	17	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_22	7.608574	13.9908905	9068	19	39	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_23	3.8049636	9.239117	7457	2	3	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_24	7.30258	12.763835	9252	16	28	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_25	4.30399	11.421937	10933	6	13	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_26	5.761743	13.0603075	9506	9	13	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_27	5.8084693	11.529809	9931	27	59	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_28	5.8622203	11.968148	9269	12	21	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_29	2.3541694	13.527253	9515	20	31	0.0	0.0	6.0	6.0	0.0	0.0
DIYHEK_3	6.13874	14.777955	9094	10	15	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_30	5.2427244	9.147652	9257	19	31	0.0	0.0	1.0	1.0	0.0	0.0
DIYHEK_31	4.1736374	8.786025	8891	10	20	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_32	5.7777524	10.363436	9046	23	48	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_33	7.7923355	13.676147	9013	15	26	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_34	6.861513	11.036807	9573	18	35	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_35	7.582465	10.805922	8511	14	21	0.0	0.0	0.0	0.0	2.0	2.0
DIYHEK_36	5.900514	12.547619	9435	14	19	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_37	7.199156	15.16694	9755	26	80	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_38	4.8669853	11.166424	9305	14	33	0.0	0.0	5.0	0.0	0.0	0.0
DIYHEK_39	3.3374476	13.577922	9759	10	16	2.0	2.0	0.0	0.0	0.0	0.0
DIYHEK_4	4.4934773	8.867567	8158	12	25	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_40	8.042387	14.580749	9669	19	50	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_41	4.669683	9.537476	8778	13	25	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_42	5.3589206	12.264348	9189	9	14	1.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_43	7.469808	11.966687	9551	19	39	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_44	8.081928	12.748999	9484	21	50	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_45	6.3416247	13.778434	8788	9	17	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_46	6.9391403	14.728224	9848	26	53	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_47	4.5444646	8.459649	8294	10	18	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_48	6.525579	11.912751	9640	22	48	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_49	8.257235	13.4664755	9767	26	53	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_5	3.1737285	14.045063	9239	16	30	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_50	5.6670437	14.665353	9641	18	38	3.0	3.0	0.0	0.0	0.0	0.0
DIYHEK_51	6.9731064	12.559355	9216	23	48	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_52	5.057549	13.175501	9392	17	39	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_53	6.0869637	12.453242	9888	11	17	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_54	9.191251	12.957473	9138	12	29	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_55	8.047043	13.794563	9130	21	59	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_56	6.0465326	14.658737	9440	15	29	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_57	7.2763257	10.520379	9053	16	44	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_58	6.42207	11.006953	10160	29	61	0.0	0.0	0.0	0.0	2.0	2.0
DIYHEK_59	4.6834507	11.804891	8777	11	23	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_6	7.8425155	14.204186	9233	18	30	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_60	6.477734	14.995691	9330	15	36	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_61	4.3746595	14.035374	9906	11	24	3.0	3.0	0.0	0.0	0.0	0.0
DIYHEK_62	5.1150947	13.454709	9437	19	54	0.0	0.0	0.0	0.0	4.0	4.0
DIYHEK_63	7.5787177	11.248914	7643	19	53	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_64	4.002563	8.443511	9396	20	62	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_65	7.7851925	11.693473	9496	17	40	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_66	7.840144	14.789485	9050	15	36	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_67	7.458189	12.314591	9527	10	17	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_68	6.9515867	12.030059	9641	23	52	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_69	8.452002	12.011228	9590	16	45	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_7	8.054451	11.527352	9411	11	24	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_70	5.6013117	10.837194	7734	35	82	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_71	7.0347304	13.121253	8884	13	26	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_72	8.300048	11.434329	9546	28	69	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_73	3.7619677	14.312362	9975	13	30	4.0	4.0	0.0	0.0	0.0	0.0
DIYHEK_74	7.056096	13.234784	9370	21	57	1.0	1.0	0.0	0.0	0.0	0.0
DIYHEK_75	4.347121	13.163469	9416	31	68	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_76	6.284511	13.332225	10076	23	38	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_77	9.307397	13.30218	9793	17	36	0.0	0.0	0.0	0.0	2.0	2.0
DIYHEK_78	2.435163	13.173798	9611	13	22	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_79	6.3466454	10.34646	9871	20	30	1.0	1.0	0.0	0.0	0.0	0.0
DIYHEK_8	3.924368	13.399025	9033	10	19	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_80	5.490165	14.801163	9736	16	52	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_81	4.712858	8.694585	9450	15	41	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_82	8.025945	10.817419	9566	26	66	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_83	5.1651154	13.000621	8395	14	23	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_84	6.5040226	9.968288	10514	30	66	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_85	4.017895	9.947092	9505	21	53	0.0	0.0	0.0	0.0	3.0	3.0
DIYHEK_86	5.6527524	11.602468	9300	21	42	0.0	0.0	0.0	0.0	2.0	2.0
DIYHEK_87	3.705324	7.5954585	9202	33	96	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_88	4.4666624	8.065298	6942	40	97	0.0	0.0	5.0	0.0	0.0	0.0
DIYHEK_89	8.256742	12.334403	9265	16	34	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_9	6.7808194	12.450705	9260	7	12	0.0	0.0	0.0	0.0	1.0	1.0
DIYHEK_90	6.013201	10.14196	9975	28	53	0.0	0.0	1.0	1.0	0.0	0.0
DIYHEK_91	4.9729686	8.59189	9217	27	72	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_92	8.192909	12.104719	9833	28	72	0.0	0.0	5.0	5.0	0.0	0.0
DIYHEK_93	5.222838	12.024243	9729	13	21	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_94	6.893466	14.143931	9341	12	29	0.0	0.0	0.0	0.0	3.0	3.0
DIYHEK_95	5.1144133	12.408687	9314	21	50	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_96	8.876878	11.667074	10160	29	69	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_97	4.448609	12.691518	8420	18	38	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_98	4.630398	13.373889	9819	33	71	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_99	6.0997176	13.975455	10426	33	82	0.0	0.0	0.0	0.0	0.0	0.0
